web-scraper-order,web-scraper-start-url,link,link-href,stars,stars-href
"1623600445-4056","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/44/consumer-electronics.html?trafficChannel=main&cat‌","https://www.aliexpress.com/category/44/consumer-electronics.html?trafficChannel=main&catName=consumer-electronics&CatId=44&ltype=wholesale&SortType=default&page=2&isrefine=y","5","https://www.aliexpress.com/item/1005002778047625.html?algo_pvid=6b11ba28-514f-407a-a4a4-2b53b71b5161&algo_exp_id=6b11ba28-514f-407a-a4a4-2b53b71b5161-43#feedback"
"1623599805-3196","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/15/home-garden.html?trafficChannel=main&catName=‌","https://www.aliexpress.com/category/15/home-garden.html?trafficChannel=main&catName=home-garden&CatId=15&ltype=wholesale&SortType=default&page=3&isrefine=y","4.8","https://www.aliexpress.com/item/1005002566765520.html?algo_pvid=eeca7cda-c0b1-4b86-a73d-eebe30188a99&algo_exp_id=eeca7cda-c0b1-4b86-a73d-eebe30188a99-25#feedback"
"1623598927-2109","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/322/shoes.html?trafficChannel=main&catName=shoes‌","https://www.aliexpress.com/category/322/shoes.html?trafficChannel=main&catName=shoes&CatId=322&ltype=wholesale&SortType=default&page=5&isrefine=y","4.9","https://www.aliexpress.com/item/1005001775499530.html?aem_p4p_detail=202106130841286738528086619540012743626#feedback"
"1623598888-2089","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/26/toys-hobbies.html?trafficChannel=main&catName=t‌","https://www.aliexpress.com/category/26/toys-hobbies.html?trafficChannel=main&catName=toys-hobbies&CatId=26&ltype=wholesale&SortType=default&page=1&isrefine=y","4.8","https://www.aliexpress.com/item/4000734290088.html?algo_pvid=8b43e030-4313-47ac-92af-ea00332d0bdf&algo_exp_id=8b43e030-4313-47ac-92af-ea00332d0bdf-29#feedback"
"1623598357-1368","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/18/sports-entertainment.html?trafficChannel=main&cat‌","https://www.aliexpress.com/category/18/sports-entertainment.html?trafficChannel=main&catName=sports-entertainment&CatId=18&ltype=wholesale&SortType=default&page=4&isrefine=y","4.9","https://www.aliexpress.com/item/1005001656768423.html?algo_pvid=e7887d22-dc69-4ef3-aa13-5943e61c4225&algo_exp_id=e7887d22-dc69-4ef3-aa13-5943e61c4225-2#feedback"
"1623600603-4256","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/30/security-protection.html?trafficChannel=main&catNa‌","https://www.aliexpress.com/category/30/security-protection.html?trafficChannel=main&catName=security-protection&CatId=30&ltype=wholesale&SortType=default&page=3&isrefine=y","4.6","https://www.aliexpress.com/item/32965169159.html?algo_pvid=b6887aae-51eb-437b-a0b9-c58a4e2efd98&algo_exp_id=b6887aae-51eb-437b-a0b9-c58a4e2efd98-40#feedback"
"1623599848-3228","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/15/home-garden.html?trafficChannel=main&catName=‌","https://www.aliexpress.com/category/15/home-garden.html?trafficChannel=main&catName=home-garden&CatId=15&ltype=wholesale&SortType=default&page=2&isrefine=y","4.9","https://www.aliexpress.com/item/4000176297447.html?algo_pvid=0e9b8cf8-680d-4d58-a56b-a49f2bc86ac4&algo_exp_id=0e9b8cf8-680d-4d58-a56b-a49f2bc86ac4-8#feedback"
"1623601235-5127","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/509/cellphones-telecommunications.html?trafficChanne‌","https://www.aliexpress.com/category/509/cellphones-telecommunications.html?trafficChannel=main&catName=cellphones-telecommunications&CatId=509&ltype=wholesale&SortType=default&page=1&isrefine=y","4.9","https://www.aliexpress.com/item/33044850111.html?aem_p4p_detail=202106130919565086889716379820011752023#feedback"
"1623598642-1761","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/1501/mother-kids.html?trafficChannel=main&catName‌","https://www.aliexpress.com/category/1501/mother-kids.html?trafficChannel=main&catName=mother-kids&CatId=1501&ltype=wholesale&SortType=default&page=2&isrefine=y","4.9","https://www.aliexpress.com/item/1005001320065981.html?algo_pvid=cf140af2-c8ea-4cdc-929a-8df48c8e6130&algo_exp_id=cf140af2-c8ea-4cdc-929a-8df48c8e6130-25#feedback"
"1623600919-4645","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/7/computer-office.html?trafficChannel=main&catName=‌","https://www.aliexpress.com/category/7/computer-office.html?trafficChannel=main&catName=computer-office&CatId=7&ltype=wholesale&SortType=default&page=4&isrefine=y","4.3","https://www.aliexpress.com/item/4001066058466.html?algo_pvid=c7e9b102-429b-453e-953a-af4b39ea6c4b&algo_exp_id=c7e9b102-429b-453e-953a-af4b39ea6c4b-2#feedback"
"1623601037-4818","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/7/computer-office.html?trafficChannel=main&catName=‌","https://www.aliexpress.com/category/7/computer-office.html?trafficChannel=main&catName=computer-office&CatId=7&ltype=wholesale&SortType=default&page=1&isrefine=y","4.7","https://www.aliexpress.com/item/33057481981.html?algo_pvid=47008108-1f4f-4c7a-9ddf-56083d8fd980&algo_exp_id=47008108-1f4f-4c7a-9ddf-56083d8fd980-7#feedback"
"1623597865-706","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/34/automobiles-motorcycles.html?trafficChannel=main‌","https://www.aliexpress.com/category/34/automobiles-motorcycles.html?trafficChannel=main&catName=automobiles-motorcycles&CatId=34&ltype=wholesale&SortType=default&page=1&isrefine=y","4.2","https://www.aliexpress.com/item/1005002103723301.html?algo_pvid=9428deff-be5c-43e6-98cb-b91bf98ddfff&algo_exp_id=9428deff-be5c-43e6-98cb-b91bf98ddfff-1#feedback"
"1623601322-5204","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/100003070/men-clothing.html?trafficChannel=main&ca‌","https://www.aliexpress.com/category/100003070/men-clothing.html?trafficChannel=main&catName=men-clothing&CatId=100003070&ltype=wholesale&SortType=default&page=4&isrefine=y","5","https://www.aliexpress.com/item/1005002654901611.html?algo_pvid=67045f12-d337-476f-8a62-c50cf25f2a07&algo_exp_id=67045f12-d337-476f-8a62-c50cf25f2a07-44#feedback"
"1623598230-1208","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/66/beauty-health.html?trafficChannel=main&catName=‌","https://www.aliexpress.com/category/66/beauty-health.html?trafficChannel=main&catName=beauty-health&CatId=66&ltype=wholesale&SortType=default&page=2&isrefine=y","4.8","https://www.aliexpress.com/item/1005001315502403.html?algo_pvid=f90d83f8-6a1c-4a18-880a-db554b964bae&algo_exp_id=f90d83f8-6a1c-4a18-880a-db554b964bae-4#feedback"
"1623600405-3970","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/44/consumer-electronics.html?trafficChannel=main&cat‌","https://www.aliexpress.com/category/44/consumer-electronics.html?trafficChannel=main&catName=consumer-electronics&CatId=44&ltype=wholesale&SortType=default&page=3&isrefine=y","5","https://www.aliexpress.com/item/1005002368245713.html?algo_pvid=c167a4b9-cb5c-4f72-8c60-1bcd097db4da&algo_exp_id=c167a4b9-cb5c-4f72-8c60-1bcd097db4da-9#feedback"
"1623599971-3423","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/1511/watches.html?trafficChannel=main&catName=wat‌","https://www.aliexpress.com/category/1511/watches.html?trafficChannel=main&catName=watches&CatId=1511&ltype=wholesale&SortType=default&page=4&isrefine=y","3.5","https://www.aliexpress.com/item/4000829878997.html?aem_p4p_detail=202106130858522584915434334020012816674#feedback"
"1623598357-1396","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/18/sports-entertainment.html?trafficChannel=main&cat‌","https://www.aliexpress.com/category/18/sports-entertainment.html?trafficChannel=main&catName=sports-entertainment&CatId=18&ltype=wholesale&SortType=default&page=4&isrefine=y","4.7","https://www.aliexpress.com/item/1005001994749210.html?algo_pvid=e7887d22-dc69-4ef3-aa13-5943e61c4225&algo_exp_id=e7887d22-dc69-4ef3-aa13-5943e61c4225-30#feedback"
"1623600248-3782","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/1509/jewelry-accessories.html?trafficChannel=main&ca‌","https://www.aliexpress.com/category/1509/jewelry-accessories.html?trafficChannel=main&catName=jewelry-accessories&CatId=1509&ltype=wholesale&SortType=default&page=2&isrefine=y","4.8","https://www.aliexpress.com/item/4001009542345.html?algo_pvid=107c9daf-5978-4011-9077-c9e790b461f1&algo_exp_id=107c9daf-5978-4011-9077-c9e790b461f1-13#feedback"
"1623597825-674","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/34/automobiles-motorcycles.html?trafficChannel=main‌","https://www.aliexpress.com/category/34/automobiles-motorcycles.html?trafficChannel=main&catName=automobiles-motorcycles&CatId=34&ltype=wholesale&SortType=default&page=2&isrefine=y","4.7","https://www.aliexpress.com/item/1005001392840026.html?algo_pvid=1b0ddb6f-d455-4be5-911b-3dc144ff0a12&algo_exp_id=1b0ddb6f-d455-4be5-911b-3dc144ff0a12-23#feedback"
"1623598722-1849","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/26/toys-hobbies.html?trafficChannel=main&catName=t‌","https://www.aliexpress.com/category/26/toys-hobbies.html?trafficChannel=main&catName=toys-hobbies&CatId=26&ltype=wholesale&SortType=default&page=5&isrefine=y","4.9","https://www.aliexpress.com/item/4001157199355.html?algo_pvid=f1b2d2a2-13e7-4a27-b77d-4dd5d70959e0&algo_exp_id=f1b2d2a2-13e7-4a27-b77d-4dd5d70959e0-4#feedback"
"1623600366-3939","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/44/consumer-electronics.html?trafficChannel=main&cat‌","https://www.aliexpress.com/category/44/consumer-electronics.html?trafficChannel=main&catName=consumer-electronics&CatId=44&ltype=wholesale&SortType=default&page=4&isrefine=y","4.8","https://www.aliexpress.com/item/1005002577544804.html?algo_pvid=66784060-4dbd-4b46-b206-db92553e53ed&algo_exp_id=66784060-4dbd-4b46-b206-db92553e53ed-22#feedback"
"1623600682-4359","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/30/security-protection.html?trafficChannel=main&catNa‌","https://www.aliexpress.com/category/30/security-protection.html?trafficChannel=main&catName=security-protection&CatId=30&ltype=wholesale&SortType=default&page=1&isrefine=y","4.2","https://www.aliexpress.com/item/1005001359649349.html?algo_pvid=a75b5851-215b-44c3-8702-32cd9f31bc5e&algo_exp_id=a75b5851-215b-44c3-8702-32cd9f31bc5e-34#feedback"
"1623597667-447","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/13/home-improvement.html?trafficChannel=main&catN‌","https://www.aliexpress.com/category/13/home-improvement.html?trafficChannel=main&catName=home-improvement&CatId=13&ltype=wholesale&SortType=default&page=1&isrefine=y","4.9","https://www.aliexpress.com/item/1005002564196392.html?algo_pvid=3a71e620-a6ce-4509-9ce7-869565779901&algo_exp_id=3a71e620-a6ce-4509-9ce7-869565779901-8#feedback"
"1623597469-193","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/1420/tools.html?trafficChannel=main&catName=tools&‌","https://www.aliexpress.com/category/1420/tools.html?trafficChannel=main&catName=tools&CatId=1420&ltype=wholesale&SortType=default&page=3&isrefine=y","4.8","https://www.aliexpress.com/item/32842036858.html?algo_pvid=7f1f31e0-c40a-42a7-8c0b-1cdefc548c79&algo_exp_id=7f1f31e0-c40a-42a7-8c0b-1cdefc548c79-24#feedback"
"1623598440-1501","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/18/sports-entertainment.html?trafficChannel=main&cat‌","https://www.aliexpress.com/category/18/sports-entertainment.html?trafficChannel=main&catName=sports-entertainment&CatId=18&ltype=wholesale&SortType=default&page=2&isrefine=y","4.7","https://www.aliexpress.com/item/4000151190263.html?algo_pvid=049e31fc-1036-41e9-96f8-284df3d0555d&algo_exp_id=049e31fc-1036-41e9-96f8-284df3d0555d-32#feedback"
"1623600879-4615","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/21/education-office-supplies.html?trafficChannel=main‌","https://www.aliexpress.com/category/21/education-office-supplies.html?trafficChannel=main&catName=education-office-supplies&CatId=21&ltype=wholesale&SortType=default&page=1&isrefine=y","5","https://www.aliexpress.com/item/1005002698345612.html?algo_pvid=a205a41c-854c-4678-bec6-0eff733e959b&algo_exp_id=a205a41c-854c-4678-bec6-0eff733e959b-24#feedback"
